leasecarId,make,model,duration,mileage,pricePerMonth
377204,Peugeot,208,72,20000,459.0
377204,Peugeot,208,24,25000,664.0
377204,Peugeot,208,36,25000,584.0
377204,Peugeot,208,48,25000,544.0
377204,Peugeot,208,60,25000,524.0
377204,Peugeot,208,72,25000,504.0
377204,Peugeot,208,24,30000,709.0
377204,Peugeot,208,36,30000,629.0
377204,Peugeot,208,48,30000,589.0
377204,Peugeot,208,60,30000,569.0
377204,Peugeot,208,72,30000,549.0
377204,Peugeot,208,24,35000,754.0
377204,Peugeot,208,36,35000,674.0
377204,Peugeot,208,48,35000,634.0
377204,Peugeot,208,60,35000,614.0
377204,Peugeot,208,72,35000,594.0
377204,Peugeot,208,24,40000,799.0
377204,Peugeot,208,36,40000,719.0
377204,Peugeot,208,48,40000,679.0
377204,Peugeot,208,60,40000,659.0
377204,Peugeot,208,72,40000,639.0
377196,Opel,Corsa,24,5000,499.0
377196,Opel,Corsa,36,5000,449.0
377196,Opel,Corsa,48,5000,399.0
377196,Opel,Corsa,60,5000,374.0
377196,Opel,Corsa,72,5000,349.0
377196,Opel,Corsa,24,7500,514.0
377196,Opel,Corsa,36,7500,464.0
377196,Opel,Corsa,48,7500,414.0
377196,Opel,Corsa,60,7500,389.0
377196,Opel,Corsa,72,7500,364.0
377196,Opel,Corsa,24,10000,529.0
377196,Opel,Corsa,36,10000,479.0
377196,Opel,Corsa,48,10000,429.0
377196,Opel,Corsa,60,10000,404.0
377196,Opel,Corsa,72,10000,379.0
377196,Opel,Corsa,24,12500,549.0
377196,Opel,Corsa,36,12500,499.0
377196,Opel,Corsa,48,12500,449.0
377196,Opel,Corsa,60,12500,424.0
377196,Opel,Corsa,72,12500,399.0
377196,Opel,Corsa,24,15000,569.0
377196,Opel,Corsa,36,15000,519.0
377196,Opel,Corsa,48,15000,469.0
377196,Opel,Corsa,60,15000,444.0
377196,Opel,Corsa,72,15000,419.0
377196,Opel,Corsa,24,17500,589.0
377196,Opel,Corsa,36,17500,539.0
377196,Opel,Corsa,48,17500,489.0
377196,Opel,Corsa,60,17500,464.0
377196,Opel,Corsa,72,17500,439.0
377196,Opel,Corsa,24,20000,609.0
377196,Opel,Corsa,36,20000,559.0
377196,Opel,Corsa,48,20000,509.0
377196,Opel,Corsa,60,20000,484.0
377196,Opel,Corsa,72,20000,459.0
377196,Opel,Corsa,24,25000,649.0
377196,Opel,Corsa,36,25000,599.0
377196,Opel,Corsa,48,25000,549.0
377196,Opel,Corsa,60,25000,524.0
377196,Opel,Corsa,72,25000,499.0
377196,Opel,Corsa,24,30000,689.0
377196,Opel,Corsa,36,30000,639.0
377196,Opel,Corsa,48,30000,589.0
377196,Opel,Corsa,60,30000,564.0
377196,Opel,Corsa,72,30000,539.0
377196,Opel,Corsa,24,35000,729.0
377196,Opel,Corsa,36,35000,679.0
377196,Opel,Corsa,48,35000,629.0
377196,Opel,Corsa,60,35000,604.0
377196,Opel,Corsa,72,35000,579.0
377196,Opel,Corsa,24,40000,769.0
377196,Opel,Corsa,36,40000,719.0
377196,Opel,Corsa,48,40000,669.0
377196,Opel,Corsa,60,40000,644.0
377196,Opel,Corsa,72,40000,619.0
377197,Opel,Corsa,24,5000,519.0
377197,Opel,Corsa,36,5000,479.0
377197,Opel,Corsa,48,5000,439.0
377197,Opel,Corsa,60,5000,399.0
